id,plane_id,article,party_size,pf_time,workload
2648,1,300675,63,0.0042,1.3167
2649,1,252817,14,2.2,152.1912
2650,1,308475,20,0.0055,0.552
2651,1,826104,2,4.4,44.26
2652,1,282436,14,14.0,1003.1994
2653,1,308287,42,0.05,10.5168
2654,1,124592,7,0.33,11.620000000000003
2655,1,300799,192,0.021,20.4864
2656,1,300517,232,0.28,325.5888
2657,1,156832,4,13.0,262.0376
2658,1,167550,6,17.0,503.0412
2659,1,163574,6,13.0,393.05640000000005
2660,1,141879,14,13.0,900.7432000000002
2661,1,51501,12,0.1,6.0
2662,1,287040,56,1.7,470.11999999999995
2663,1,813174,48,16.0,3942.768
2664,1,15254,28,3.6,510.0228
2665,1,191424,56,3.7,1025.6176
2666,1,805208,18,1.3,119.70000000000002
2667,1,15348,8,2.0,79.6352
2669,1,302666,9,0.02,0.8937
2670,1,295918,4,2.7,54.32000000000001
2671,1,124176,28,1.5,213.0296
2672,1,811183,18,8.8,796.32
2673,1,167539,14,3.0,210.672
2674,1,295903,4,17.0,331.08
2675,1,832968,2,5.7,56.9
2676,1,124398,14,1.9,136.28719999999998
2677,1,15525,7,1.7,58.1735
2678,1,191627,28,1.4,196.0
2679,1,15694,14,2.1,149.226
2680,1,173258,7,5.3,187.03160000000003
2681,1,287029,84,2.3,985.1772
2682,1,308622,7,0.71,24.839499999999997
2683,1,171884,4,3.9,77.9392
2684,1,245960,4,3.2,64.392
2685,1,59166,7,1.3,44.7944
2686,1,282447,4,12.0,233.24360000000001
2687,1,56654,3,7.5,113.00249999999997
2688,1,124338,84,1.9,794.4888000000001
2689,1,810890,14,2.7,186.03619999999998
2690,1,171632,2,1.4,14.495199999999999
2691,1,285316,12,1.9,111.84600000000002
2692,1,306725,32,0.48,77.3472
2693,1,84613,78,0.76,296.0724
2694,1,124507,14,3.7,255.63719999999998
2695,1,814968,7,1.6,57.729000000000006
2696,1,14335,28,1.6,225.344
2697,1,277978,28,7.0,982.1
2698,1,306204,7,0.037,1.2971
2699,1,15777,4,3.2,63.0448
2700,1,124428,7,8.5,299.14849999999984
2701,1,84504,3,1.8,26.826299999999996
2702,1,295933,4,34.0,677.5332
2703,1,49331,4,1.7,34.031200000000005
2704,1,811059,6,12.0,354.6
2705,1,164070,4,16.0,310.67999999999995
2706,1,811153,3,12.0,177.042
2707,1,815468,3,5.0,74.688
2708,1,306567,14,0.07499999999999998,5.2780000000000005
2709,1,163634,8,3.3,133.76
2710,1,826115,4,1.3,25.919999999999998
2711,1,300372,9,0.79,35.7723
2712,1,145852,3,18.0,270.0
2713,1,163649,16,2.1,169.6
2714,1,295463,8,8.4,337.6
2715,1,306129,12,0.053,3.1896
2716,1,306364,120,0.0009,0.5399999999999999
2717,1,47419,60,0.0054,1.608
2718,1,124304,14,9.7,681.5928
2719,1,297520,3,21.0,322.46999999999997
2720,1,811138,3,5.2,78.30000000000003
2721,1,307522,14,0.008999999999999998,0.63
2722,1,13267,16,3.1,247.3248
2723,1,167460,4,16.0,325.37
2724,1,49177,70,0.64,222.82399999999996
2725,1,15792,28,1.5,206.39360000000005
2726,1,40284,6,0.04,1.2000000000000002
2727,1,160874,7,9.5,333.8496
2728,1,167569,28,1.2,169.6968
2729,1,300592,42,1.5,309.3594
2730,1,51482,4,0.54,10.8
2731,1,111384,33,0.085,13.9458
2732,1,156811,14,3.5,242.417
2733,1,156623,4,5.0,100.8
2734,1,156717,4,3.0,60.06
2735,1,805212,6,1.3,39.9
2736,1,191608,7,15.0,525.4263000000001
2737,1,156702,4,1.2,23.856799999999996
2738,1,181933,24,3.9,463.8672
2739,1,815483,14,18.0,1249.5056
2740,1,124383,14,9.4,660.8364
2741,1,191420,14,2.0,138.89540000000002
2742,1,295339,14,34.0,2403.0020000000004
2743,1,14324,7,0.73,25.697699999999998
2744,1,245949,14,1.3,88.25460000000001
2745,1,277990,14,0.33,23.4332
2746,1,295937,8,4.7,187.2
2747,1,810895,28,2.0,281.19559999999996
2748,1,4299,7,0.81,28.351399999999998
2749,1,287033,7,4.3,148.96
2751,1,811064,6,0.53,16.038
2752,1,295922,4,34.0,686.692
2753,1,306546,4,0.62,12.396
2754,1,84501,6,1.6,48.2868
2755,1,156689,4,6.2,124.6452
2756,1,153696,3,7.4,110.52
2757,1,277975,42,2.6,548.5914
2758,1,295385,14,7.8,547.9599999999999
2759,1,163612,4,6.1,122.34439999999998
2760,1,300590,60,0.94,281.226
2761,1,15843,14,2.7,192.4118
2762,1,826093,2,8.3,83.0
2763,1,146033,12,0.58,35.095200000000006
2764,1,31689,6,7.8,235.4658
2765,1,15659,7,1.9,66.68199999999999
2766,1,124601,7,6.7,233.1084
2767,1,811188,3,9.5,142.61999999999998
2768,1,308497,16,0.5,39.825599999999994
2769,1,811094,3,9.6,144.078
2770,1,15644,28,2.0,277.97279999999995
2771,1,125416,25,0.17,20.9325
2772,1,811447,4,0.9900000000000002,19.8
2773,1,5067,24,0.0053,0.636
2774,1,124385,14,7.9,550.1285999999999
2775,1,297505,3,29.0,440.175
2776,1,151302,21,2.3,239.7423
2777,1,285315,8,2.8,112.36640000000001
2778,1,300096,48,0.038,9.0192
2779,1,826142,2,15.0,152.36
2780,1,56818,3,2.3,34.5
2781,1,15520,56,7.599999999999999,2126.32
2782,1,167587,7,3.1,107.3618
2783,1,15370,22,1.8,199.727
2784,1,191464,36,1.4,244.6956
2785,1,124231,28,2.0,281.97119999999995
2786,1,282532,28,6.0,845.138
